,city_name,Latitude,Longitude,Wind Speed,Humidity,Temperature,Cloudiness,Country Name,Date
369,kalmunai,7.42,81.82,5.93,75,80.89,94,LK,1603935441
370,kars,40.6,43.09,2.55,52,46.45,0,TR,1603935441
371,tuatapere,-46.13,167.68,4.0,68,63.0,30,NZ,1603935441
372,cap malheureux,-19.98,57.61,4.0,73,70.0,35,MU,1603935441
373,kambove,-10.88,26.6,2.19,70,64.4,42,CD,1603935441
374,sangar,63.92,127.47,7.72,91,-1.82,81,RU,1603935441
375,tchaourou,8.89,2.6,1.88,63,73.0,1,BJ,1603935441
376,karratha,-20.74,116.85,9.71,51,83.57,1,AU,1603935205
377,honningsvag,70.98,25.97,15.64,77,39.27,85,NO,1603935442
378,port macquarie,-31.43,152.92,9.22,58,71.19,0,AU,1603935328
379,potenza,40.64,15.81,1.99,98,43.0,5,IT,1603935442
380,zheleznodorozhnyy,55.75,38.0,6.29,9,41.0,0,RU,1603935442
381,hlohovec,48.43,17.8,2.48,100,48.0,63,SK,1603935442
382,yinchuan,38.47,106.27,5.23,46,48.09,0,CN,1603935279
383,otradnoye,59.78,30.82,5.99,97,46.0,100,RU,1603935443
384,rudnichnyy,59.62,52.47,9.22,94,34.3,100,RU,1603935443
385,teluknaga,-6.1,106.64,8.99,70,89.01,59,ID,1603935443
386,qaqortoq,60.72,-46.03,1.12,80,30.2,100,GL,1603935443
387,cabo san lucas,22.89,-109.91,5.99,58,75.99,67,MX,1603935145
388,kununurra,-15.77,128.73,5.12,34,95.02,0,AU,1603935443
389,salalah,17.02,54.09,2.04,68,78.42,7,OM,1603935443
390,saint-pierre,-21.34,55.48,5.82,68,69.8,53,RE,1603935443
391,oga,46.46,10.35,1.39,100,48.99,100,IT,1603935444
392,farmington,36.73,-108.22,4.7,39,48.2,1,US,1603935444
393,tiznit,29.58,-9.5,5.08,32,69.3,100,MA,1603935444
394,khani,41.96,42.96,5.95,32,61.3,93,GE,1603935444
395,mount gambier,-37.83,140.77,4.59,76,58.57,100,AU,1603935444
396,hirado,33.36,129.55,3.0,25,72.0,12,JP,1603935444
397,matay,28.42,30.78,15.3,75,70.74,41,EG,1603935444
398,ust-tsilma,65.44,52.15,17.11,85,41.27,100,RU,1603935444
